Record ID,Last Activity Date,State,Deal Stage,Close Date,Amount,Date of last meeting booked in meetings tool,Pipeline,Associated Product,Products,LMS,Associated Product IDs
18362154279,8/21/2024 15:57,Florida,Closed Lost ,8/21/2024 15:58,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
15258346917,8/21/2024 15:54,Texas,Contract Issued ,11/15/2023 16:15,75000,,Texas,,,,
21255197737,8/21/2024 10:04,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
18110530361,8/21/2024 9:49,Virginia,Contract Issued,,3000,,VA,,,,
20837968757,8/21/2024 9:42,,Late Stage Meeting,,,,Texas,,,,
19273753999,8/21/2024 9:16,Illinois,Demo,,1990,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
18901665194,8/21/2024 9:15,Tennessee,Circle Back ,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
19856592561,8/21/2024 9:00,Maryland,Demo,,2388,,"Mid Atlantic (MD, DE, DC)",,,,
19195234309,8/21/2024 9:00,Maryland,Closed Lost ,,2388,,Renewals ,,CCR: Career &College; School Choice,,
15972041476,8/21/2024 9:00,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
19516514058,8/21/2024 8:51,New York,Contract Signed,8/8/2024 13:28,11940,,NYC Schools ,,IEP/SPED,Google Classroom,
19827650698,8/20/2024 15:00,Maryland,Closed Lost ,,2388,,Renewals ,,,,
16041471500,8/20/2024 15:00,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
18898137108,8/20/2024 13:41,Virginia,Contract Issued,,34387,,VA,,CCR: Career &College; Entrepreneurship,Canvas LMS (Free),
21096335747,8/20/2024 13:15,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
20633572900,8/20/2024 13:00,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
17856728464,8/20/2024 12:01,Texas,Contract Signed ,3/22/2024 15:17,2200,,Texas,,CCR: Career &College,,
18976804105,8/20/2024 11:59,North Carolina,Contract Signed ,6/17/2024 15:56,2388,,"South East (NC, SC, TN, MS, AL, GA, FL)",,Entrepreneurship,,
19440436353,8/20/2024 11:30,New York,Contract Signed,5/20/2024 20:15,2400,,NYC Schools ,,IEP/SPED,Google Classroom,
19071329086,8/20/2024 11:21,Texas,Contract Signed ,6/17/2024 13:49,4776,,Texas,,Entrepreneurship; CCR: Career &College,,
18048679990,8/20/2024 11:20,Virginia,Contract Signed ,8/6/2024 15:51,2388,,VA,,CCR: Career &College,Canvas LMS (Paid),
17678600079,8/20/2024 11:20,Texas,Demo,,,,Texas,,,,
19195233155,8/20/2024 10:14,New York,Contract Signed ,7/30/2024 10:56,2400,,Renewals ,,CCR: Career &College; Entrepreneurship,Google Classroom,
19070075247,8/20/2024 10:10,New York,Contract Signed ,5/6/2024 11:24,7200,,Renewals ,,Entrepreneurship; CCR: Career &College; Readiness,Google Classroom,
13648625431,8/20/2024 10:10,New York,Contract Signed,11/10/2023 8:49,10000,,NYC Schools ,,,,
17368887202,8/20/2024 10:07,Maryland,Contract Signed,,6000,,"Mid Atlantic (MD, DE, DC)",,CCR: Career &College,,
16868919461,8/20/2024 10:01,Texas,Contract Signed ,8/20/2024 9:55,299.99,,Texas,,PPR,,
19760303643,8/20/2024 9:58,New York,Contract Signed,7/8/2024 11:13,7164,,NYC Schools ,,IEP/SPED,Google Classroom,
21567616935,8/20/2024 8:00,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
19410229364,8/20/2024 8:00,Missouri,Demo,,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
19164047229,8/20/2024 8:00,Texas,Demo,,,,Texas,,IEP/SPED,,
18033107783,8/20/2024 8:00,Virginia,Circle Back ,,1990,,VA,,,,
16002029861,8/20/2024 8:00,New York,Contract Signed,12/1/2023 12:01,12000,,NYC Schools ,,Readiness; CCR: Career &College,,
15560745631,8/20/2024 8:00,,Late Stage Meeting,,,,"Mid Atlantic (MD, DE, DC)",,,,
13648678766,8/19/2024 15:46,Pennsylvania,Late Stage Meeting,,1188,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
16356335525,8/19/2024 15:22,Texas,Circle Back ,,,,Texas,,,,
20036528211,8/19/2024 15:09,New York,Demo,,,,NYC Schools ,,,,
16909950730,8/19/2024 15:09,New York,Demo,,,,NYC Schools ,,,,
19326425372,8/19/2024 14:30,Louisiana,Demo,,,,"South (LA, AR, AL, MS)",,PPR,,
18129192767,8/19/2024 14:03,Virginia,Late Stage Meeting,,2388,,VA,,,,
20008105110,8/19/2024 13:40,Virginia,Late Stage Meeting,,,,VA,,,,
21191199149,8/19/2024 11:25,,Demo,,,,"Mid Atlantic (MD, DE, DC)",,,,
19195232539,8/19/2024 11:12,New York,Contract Issued ,,7164,,Renewals ,,Entrepreneurship,,
18226186610,8/19/2024 10:42,Texas,Circle Back ,,,,Texas,,CCR: Career &College,,
19195234443,8/19/2024 9:20,Maryland,Contract Issued ,,2388,,Renewals ,,CCR: Career &College,,
15972042150,8/19/2024 9:20,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
20035770235,8/19/2024 8:00,Maryland,Closed Lost ,8/13/2024 9:29,2388,,Renewals ,,CCR: Career &College,Google Classroom,
19071328860,8/19/2024 8:00,Texas,Demo,,4000,,Texas,,CCR: Career &College; Entrepreneurship,,
19072717492,8/19/2024 8:00,Maryland,Contract Issued ,5/10/2024 13:49,6447,,Renewals ,,CCR: Career &College; Readiness,,
18450984488,8/19/2024 8:00,Texas,Demo,,,,Texas,,CCR: Career &College,,
18428210691,8/19/2024 8:00,Pennsylvania,Circle Back ,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
18033527366,8/19/2024 8:00,Virginia,Late Stage Meeting,,,,VA,,,,
17447362640,8/19/2024 8:00,Texas,Demo,,,,Texas,,,,
15972041369,8/19/2024 8:00,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
15746435716,8/19/2024 8:00,New York,Closed Lost ,7/17/2024 13:39,,,NYC Schools ,,,,
13648702985,8/19/2024 8:00,,Contract Signed,,20000,,"Mid Atlantic (MD, DE, DC)",,,,
19760297229,8/15/2024 11:17,New York,Contract Signed,7/8/2024 11:13,2388,,NYC Schools ,,IEP/SPED,Google Classroom,
20034450231,8/15/2024 8:00,Georgia,Late Stage Meeting,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
20039457603,8/14/2024 14:39,Florida,Late Stage Meeting,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
19827649298,8/14/2024 13:36,Maryland,Closed Lost ,,1600,,Renewals ,,CCR: Career &College; School Choice,,
16101976729,8/14/2024 13:36,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
20035769916,8/14/2024 9:45,New York,Demo,,,,NYC Schools ,,,,
20035768448,8/14/2024 8:00,New York,Demo,,,,NYC Schools ,,,,
20036799053,8/13/2024 15:57,Nevada,Late Stage Meeting ,,,,"Rocky Mountain (CO, UT, NV, ID, WY, MT)",,,,
21325077926,8/13/2024 14:45,,Demo,,,,"Mid Atlantic (MD, DE, DC)",,,,
19826225448,8/13/2024 12:28,New York,Contract Issued ,,23880,,NYC Schools ,,CCR: Career &College,Google Classroom,
17905543803,8/13/2024 12:27,Virginia,Circle Back ,,,,VA,,,,
18091624807,8/13/2024 10:00,Texas,Demo,,24000,,Texas,,CCR: Career &College,,
20008060467,8/13/2024 8:00,Massachusetts,Closed Lost ,8/9/2024 17:41,,,"Northeast (NJ, RI, MA, NH, ME, VT, CT)",,,,
17324925507,8/12/2024 15:35,Texas,Late Stage Meeting,,,,Texas,,,,
16385989969,8/12/2024 14:23,Texas,Contract Issued ,4/5/2024 9:31,4800,,Texas,,Entrepreneurship,,
18133648965,8/12/2024 14:08,Texas,Demo,,,,Texas,,Entrepreneurship,,
18288716456,8/12/2024 13:05,Missouri,Closed Lost ,6/18/2024 10:48,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
17500053641,8/12/2024 12:52,Texas,Demo,,,,Texas,,,,
20175250601,8/12/2024 9:07,Virginia,Late Stage Meeting,,,,VA,,,,
20003472218,8/12/2024 8:00,North Carolina,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
18288716725,8/12/2024 8:00,Texas,Demo,,2000,,Texas,,CCR: Career &College,,
18245217600,8/12/2024 8:00,Pennsylvania,Circle Back ,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
17856728383,8/12/2024 8:00,Texas,Late Stage Meeting,,4000,,Texas,,CCR: Career &College,,
15942415524,8/12/2024 8:00,,Circle Back,,,,"Mid Atlantic (MD, DE, DC)",,,,
19442794088,8/9/2024 12:57,Pennsylvania,Late Stage Meeting,,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
18175259525,8/9/2024 12:31,Maryland,Demo,,,,"Mid Atlantic (MD, DE, DC)",,,,
17855165847,8/9/2024 12:09,Texas,Circle Back ,,8000,,Texas,,CCR: Career &College,,
17172920071,8/9/2024 11:23,Texas,Circle Back ,,,,Texas,,,,
19833647147,8/8/2024 20:56,New York,Late Stage Meeting,,,,NYC Schools ,,,,
20325915573,8/8/2024 8:00,,Contract Issued,,2400,,"South East (NC, SC, TN, MS, AL, GA, FL)",,CCR: Career &College,,
19195299249,8/8/2024 8:00,Maryland,Closed Lost ,,2388,,Renewals ,,,,
15972041584,8/8/2024 8:00,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
21212306315,8/7/2024 13:52,,Demo,,,,"South West (NM, AZ, OK, KS)",,,,
20337126508,8/7/2024 8:00,,Demo,8/30/2024 18:14,0,,"Mid Atlantic (MD, DE, DC)",SE - Social Entrepreneurship ,,,2455972120
19877158776,8/7/2024 8:00,New York,Closed Lost ,8/7/2024 7:33,2388,,NYC Schools ,,CCR: Career &College; School Choice,,
19415781240,8/7/2024 6:04,Maryland,Contract Issued ,,2388,,"Mid Atlantic (MD, DE, DC)",,CCR: Career &College; Readiness,Canvas LMS (Paid),
21191199011,8/5/2024 8:00,,Demo,,,,"Midwest (ND, SD, NE, MN, IA, MO, IL, IN, MI)",,,,
19828032638,8/5/2024 8:00,Maryland,Overdue Renewals,,2388,,Renewals ,,,,
19827650422,8/5/2024 8:00,Maryland,Overdue Renewals,,2388,,Renewals ,,,,
15972044624,8/2/2024 13:57,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
16041852453,8/2/2024 13:55,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
19905772293,8/2/2024 13:51,Georgia,Closed Lost ,7/30/2024 12:10,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
17811724142,8/2/2024 8:00,Texas,Circle Back ,,,,Texas,,Entrepreneurship,,
15590401209,8/1/2024 15:24,Texas,Late Stage Meeting,,720000,,Texas,,,,
21071011955,8/1/2024 14:16,,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
16273227125,8/1/2024 8:00,Maryland,Contract Signed,,0,,"Mid Atlantic (MD, DE, DC)",,,,
15341936645,8/1/2024 8:00,New York,Circle Back ,,12000,,NYC Schools ,,,,
15340343121,8/1/2024 8:00,New York,Circle Back ,,12000,,NYC Schools ,,,,
14528840001,8/1/2024 8:00,New York,Circle Back ,,12000,,NYC Schools ,,,,
13648665490,7/31/2024 10:29,New York,Paid ,5/22/2024 14:11,4195.8,,NYC Schools ,,Readiness,,
19930485797,7/31/2024 8:00,West Virginia,Closed Lost ,7/26/2024 12:08,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
16907530305,7/31/2024 8:00,Texas,Circle Back ,,,,Texas,,,,
18731954702,7/30/2024 16:58,New York,Contract Signed,4/30/2024 8:55,2388,,NYC Schools ,,CCR: Career &College; IEP/SPED,,
16003531167,7/30/2024 12:09,Virginia,Circle Back ,4/30/2024 0:54,1000000,,Higher Ed ,,,,
19542546496,7/30/2024 11:49,New York,Contract Issued ,,9552,,NYC Schools ,,IEP/SPED,Google Classroom,
18898306346,7/30/2024 10:00,Kentucky,Closed Lost ,7/30/2024 12:07,,,"Appalachia (TN, OH, KY, WV, PA) ",,,,
18133648649,7/30/2024 8:00,Texas,Closed Lost ,7/26/2024 14:17,11940,,Texas,,CCR: Career &College,,
19825265260,7/29/2024 16:30,Maryland,Contract Issued ,,2388,,Renewals ,,CCR: Career &College,,
18511221085,7/29/2024 8:00,Oklahoma,Demo,,,,"South West (NM, AZ, OK, KS)",,,,
18451900176,7/29/2024 8:00,Texas,Circle Back ,,,,Texas,,Entrepreneurship,,
18175260586,7/29/2024 8:00,Florida,Demo,,,,"South East (NC, SC, TN, MS, AL, GA, FL)",,,,
14878023019,7/29/2024 8:00,Texas,Circle Back ,11/16/2023 12:25,2400,,Texas,,,,
14863876682,7/29/2024 8:00,Texas,Circle Back ,11/10/2023 9:52,12000,,Texas,,,,
14809978378,7/29/2024 8:00,Texas,Circle Back ,10/10/2023 15:18,12000,,Texas,,,,
14795220271,7/29/2024 8:00,New York,Circle Back ,,12000,,NYC Schools ,,CCR: Career &College,,
14792367166,7/29/2024 8:00,Texas,Paid,1/22/2024 9:02,5160,,Texas,,,,
14785734061,7/29/2024 8:00,Texas,Circle Back ,10/16/2023 15:19,10000,,Texas,,,,
